Indicator
#1-5-1
#10-3-1
#11-5-1
#11-7-2
#13-1-1
#16-1-1
#16-1-3
#16-1-4
#16-2-3
#16-3-1
#16-3-2
#16-5-1
#16-5-2
#16-b-1
#3-1-2
#3-4-1
#3-9-3
#5-2-1
#5-2-2
#5-3-1
#6-2-1
