Indicator
#1-5-3
#1-5-4
#10-7-2
#11-b-1
#11-b-2
#12-1-1
#12-7-1
#13-1-2
#13-1-3
#13-2-1
#13-b-1
#14-6-1
#14-b-1
#14-c-1
#15-8-1
#15-9-1
#16-10-2
#16-2-1
#16-a-1
#17-13-1
#17-16-1
#17-18-2
#17-18-3
#17-19-2
#4-a-1
#5-6-2
#5-a-2
#5-c-1
#6-5-2
#6-b-1
#8-b-1
