Indicator,Disaggregation combinations using this value
#1-2-1,7
#1-2-2,6
#1-3-1,3
#1-5-1,34
#10-2-1,6
#10-3-1,8
#10-7-3,6
#11-5-1,34
#13-1-1,34
#16-1-1,11
#16-1-4,8
#16-2-3,5
#16-3-2,11
#16-6-2,1
#16-7-1,13
#16-7-2,1
#16-9-1,1
#16-b-1,8
#17-8-1,8
#2-1-1,12
#2-2-1,1
#2-2-2,13
#2-3-2,1
#3-2-1,5
#3-2-2,18
#3-3-1,55
#3-3-3,32
#3-3-4,49
#3-4-1,1245
#3-4-2,83
#3-5-2,1
#3-6-1,11
#3-9-2,5
#3-9-3,134
#3-a-1,110
#4-1-1,22
#4-3-1,2
#4-4-1,10
#4-6-1,3
#4-c-1,4
#5-4-1,15
#5-b-1,2
#8-10-2,200
#8-3-1,7
#8-5-2,33
#8-6-1,12
#8-7-1,11
#8-8-1,15
#9-2-2,1
#9-5-2,1
