Value,Disaggregation combinations using this value,Number of indicators
Any Direct Payment Account (excluding POCAs),30,1
Any Direct Payment Account (including POCAs),30,1
Any other type of asset,30,1
Any type of account (excluding POCAs),30,1
Any type of account (including POCAs),30,1
Basic Bank account,30,1
Company Share Scheme / profit sharing,30,1
Credit Unions,30,1
Current account,30,1
Endowment Policy (not linked),30,1
ISA,30,1
National Savings Bonds,30,1
No accounts (excluding POCAs),30,1
No accounts (including POCAs),30,1
NS&I Savings Account,30,1
Other Bank / Building Society account,30,1
Post Office Card Account (POCA),30,1
Premium Bonds,30,1
Stocks and shares / member of a Share Club,30,1
Unit trusts,30,1
