Indicator,Disaggregation combinations using this value
#12-a-1,12
#16-7-2,1
#17-8-1,20
#3-6-1,1
#3-7-1,132
#3-9-1,2
#4-1-1,3312
#4-2-1,120
#4-2-2,68
#4-3-1,2
#4-c-1,9
#5-2-1,3
#5-5-2,1
#5-6-1,132
#5-b-1,4
#7-b-1,12
