Value,Disaggregation combinations using this value,Number of indicators
Deposit onto or into land,1,1
Energy recovery,1,1
Incineration,1,1
Land treatment and release into water bodies,1,1
Recovery other than energy recovery - Backfilling,1,1
Recovery other than energy recovery - Except backfilling,1,1
