Indicator,Disaggregation combinations using this value
#1-5-1,33
#11-3-1,69
#11-5-1,66
#11-7-1,1
#12-5-1,1
#13-1-1,33
#15-1-1,3
#15-2-1,4
#16-1-1,5
#16-7-1,2
#2-1-2,6
#2-2-2,3
#3-1-2,8
#3-2-1,3
#3-2-2,10
#3-3-1,34
#3-3-2,1
#3-3-3,2
#3-4-1,121
#3-4-2,50
#3-6-1,1
#3-9-2,3
#3-9-3,3
#3-a-1,25
#3-b-1,21
#3-d-2,2
#5-b-1,2
#6-3-2,12
#8-10-1,25
#8-5-1,9
#8-5-2,3
#8-8-1,2
#9-1-1,133
#9-5-1,5
